=================== prox2-saga ====================
SDCA: PASS_GRAD = 73, cost = 0.0026142691329606, optgap = Inf, time = 16.450162, w_opt = Inf
SDCA: PASS_GRAD = 74, cost = 0.0026090593325699, optgap = Inf, time = 16.672932, w_opt = Inf
SDCA: PASS_GRAD = 75, cost = 0.0026209181236941, optgap = Inf, time = 16.898131, w_opt = Inf
SDCA: PASS_GRAD = 76, cost = 0.0026006624333038, optgap = Inf, time = 17.121937, w_opt = Inf
SDCA: PASS_GRAD = 77, cost = 0.0026063810376689, optgap = Inf, time = 17.347829, w_opt = Inf
SDCA: PASS_GRAD = 78, cost = 0.0025986970723525, optgap = Inf, time = 17.570451, w_opt = Inf
SDCA: PASS_GRAD = 79, cost = 0.0026020361893104, optgap = Inf, time = 17.792784, w_opt = Inf
SDCA: PASS_GRAD = 80, cost = 0.0026231991758293, optgap = Inf, time = 18.022989, w_opt = Inf
SDCA: PASS_GRAD = 81, cost = 0.0025968487795689, optgap = Inf, time = 18.245103, w_opt = Inf
SDCA: PASS_GRAD = 82, cost = 0.0026022697116710, optgap = Inf, time = 18.470977, w_opt = Inf
SDCA: PASS_GRAD = 83, cost = 0.0026174517533745, optgap = Inf, time = 18.694037, w_opt = Inf
SDCA: PASS_GRAD = 84, cost = 0.0025941521617349, optgap = Inf, time = 18.923134, w_opt = Inf
SDCA: PASS_GRAD = 85, cost = 0.0025994884002359, optgap = Inf, time = 19.146851, w_opt = Inf
SDCA: PASS_GRAD = 86, cost = 0.0026097134815006, optgap = Inf, time = 19.373987, w_opt = Inf
SDCA: PASS_GRAD = 87, cost = 0.0025928838342340, optgap = Inf, time = 19.597480, w_opt = Inf
SDCA: PASS_GRAD = 88, cost = 0.0026010741776927, optgap = Inf, time = 19.822248, w_opt = Inf
SDCA: PASS_GRAD = 89, cost = 0.0025930229630936, optgap = Inf, time = 20.050186, w_opt = Inf
SDCA: PASS_GRAD = 90, cost = 0.0026077976245815, optgap = Inf, time = 20.274634, w_opt = Inf
SDCA: PASS_GRAD = 91, cost = 0.0025956836675110, optgap = Inf, time = 20.499711, w_opt = Inf
SDCA: PASS_GRAD = 92, cost = 0.0025936724987470, optgap = Inf, time = 20.722713, w_opt = Inf
SDCA: PASS_GRAD = 93, cost = 0.0025935224389127, optgap = Inf, time = 20.951285, w_opt = Inf
SDCA: PASS_GRAD = 94, cost = 0.0025944186882929, optgap = Inf, time = 21.176013, w_opt = Inf
SDCA: PASS_GRAD = 95, cost = 0.0025926770874646, optgap = Inf, time = 21.402164, w_opt = Inf
SDCA: PASS_GRAD = 96, cost = 0.0025942486554186, optgap = Inf, time = 21.624365, w_opt = Inf
